Country,Year,Total GHG Emissions Including Land-Use Change and Forestry (MtCO_e_),GDP-USD (Million US$ (2005)),Population (People),GHG per Capita,GDP per Capita
Malawi,2004,13.48,2679,12569091,1.07,213.14
Malaysia,2004,411.74,136267,25365089,16.23,5372.23
Maldives,2004,0.85,1087,292505,2.90,3716.18
Mali,2004,31.57,5001,11572936,2.73,432.13
Malta,2004,3.01,5769,401268,7.50,14376.93
Mauritania,2004,10.18,1762,3055425,3.33,576.68
Mauritius,2004,4.46,6207,1221003,3.66,5083.53
Mexico,2004,652.22,840847,109381550,5.96,7687.28
Moldova,2004,11.07,2780,3603945,3.07,771.38
Mongolia,2004,47.03,2353,2496248,18.84,942.61
Montenegro,2004,3.99,2166,614670,6.49,3523.84
Morocco,2004,51.16,57802,29855820,1.71,1936.04
Mozambique,2004,58.34,6054,20438827,2.85,296.20
Myanmar,2004,173.04,11752,49875169,3.47,235.63
Namibia,2004,17.29,7082,2003320,8.63,3535.13
Nauru,2004,0.09,32,9902,8.61,3231.67
Nepal,2004,60.43,7857,24921910,2.42,315.26
Netherlands,2004,224.71,657546,16281779,13.80,40385.39
New Zealand,2004,58.73,110232,4087500,14.37,26968.07
Nicaragua,2004,41.68,6063,5386299,7.74,1125.63
Niger,2004,21.33,3259,12708897,1.68,256.43
Nigeria,2004,453.44,108510,135999250,3.33,797.87
Niue,2004,0.07,10.12,1701,40.33,5949.44
Norway,2004,26.49,296387,4591910,5.77,64545.47
Oman,2004,65.58,30327,2464001,26.62,12308.03
Pakistan,2004,279.93,101704,155151394,1.80,655.51
Palau,2004,0.01,205,19805,0.39,10350.92
Panama,2004,17.33,14427,3303335,5.25,4367.40
Papua New Guinea,2004,105.15,4579,5948461,17.68,769.78
Paraguay,2004,101.93,8552,5793330,17.59,1476.18
Peru,2004,110.45,70531,27403845,4.03,2573.76
Philippines,2004,138.43,98366,84231329,1.64,1167.81
Poland,2004,320.89,293984,38182222,8.40,7699.50
Portugal,2004,81.07,195798,10483861,7.73,18676.13
Qatar,2004,38.81,41427,720383,53.87,57506.91
Romania,2004,136.93,95094,21451748,6.38,4432.93
Russian Federation,2004,2135.82,718207,143821212,14.85,4993.75
Rwanda,2004,-4.68,2415,9254379,-0.51,260.96
Saint Kitts & Nevis,2004,0.29,497,48421,5.96,10264.14
Saint Lucia,2004,0.97,951,163460,5.91,5817.94
Saint Vincent & Grenadines,2004,0.23,537,108562,2.15,4946.48
Samoa,2004,0.43,444,178794,2.43,2483.30
Sao Tome & Principe,2004,0.14,121,150842,0.90,802.16
Saudi Arabia,2004,335.48,306239,23839231,14.07,12846.01
Senegal,2004,27.55,8244,10967568,2.51,751.67
Serbia,2004,52.34,24874,7463157,7.01,3332.91
Seychelles,2004,0.80,841,82500,9.69,10193.94
Sierra Leone,2004,10.17,1560,4928175,2.06,316.55
Singapore,2004,49.02,118540,4166700,11.76,28449.37
Slovakia,2004,37.64,58830,5372280,7.01,10950.66
Slovenia,2004,5.56,34946,1997012,2.78,17499.14
Solomon Islands,2004,2.08,393,457827,4.55,858.40
South Africa,2004,412.20,244852,46727694,8.82,5239.98
Spain,2004,416.32,1115709,42921895,9.70,25993.94
Sri Lanka,2004,42.05,22972,19435000,2.16,1181.99
Sudan,2004,155.01,24677,30778572,5.04,801.76
Suriname,2004,5.66,1715,493394,11.47,3475.92
Swaziland,2004,2.86,2522,1094758,2.61,2303.71
Sweden,2004,45.46,378379,8993531,5.06,42072.35
Switzerland,2004,50.83,395526,7389625,6.88,53524.50
Syria,2004,79.66,27174,17676012,4.51,1537.34
Tajikistan,2004,6.97,2167,6663929,1.05,325.18
Tanzania,2004,162.85,13171,37765139,4.31,348.76
Thailand,2004,314.42,168589,65087400,4.83,2590.19
Togo,2004,13.17,2090,5397851,2.44,387.19
Tonga,2004,0.28,259,100319,2.83,2581.76
Trinidad & Tobago,2004,28.73,15212,1290379,22.26,11788.78
Tunisia,2004,29.94,31095,9932400,3.01,3130.66
Turkey,2004,279.18,445547,66845635,4.18,6665.31
Turkmenistan,2004,82.19,7169,4696876,17.50,1526.33
Uganda,2004,39.20,8477,27766986,1.41,305.29
Ukraine,2004,397.08,83877,47451600,8.37,1767.63
United Arab Emirates,2004,140.97,172254,3658658,38.53,47081.20
United Kingdom,2004,639.56,2346267,59987905,10.66,39112.33
United States,2004,6495.93,12669794,292805298,22.19,43270.37
Uruguay,2004,22.52,16158,3323822,6.78,4861.27
Uzbekistan,2004,211.41,13372,25864350,8.17,517.01
Vanuatu,2004,0.54,375,204135,2.66,1837.02
Venezuela,2004,336.06,131904,26261326,12.80,5022.75
Vietnam,2004,161.16,53589,81436400,1.98,658.05
World,2004,40841.06,45354157,6412222945,6.37,7073.08
Yemen,2004,26.15,15867,19612696,1.33,809.02
Zambia,2004,118.89,7770,11174650,10.64,695.32
Zimbabwe,2004,62.60,6104,12693047,4.93,480.89
Afghanistan,2005,18.83,6275,24860855,0.76,252.40
Albania,2005,8.96,8376,3011487,2.97,2781.35
Algeria,2005,138.04,103199,33960903,4.06,3038.76
Angola,2005,152.68,28234,16544376,9.23,1706.56
Antigua & Barbuda,2005,0.78,997,82565,9.41,12075.33
Argentina,2005,379.69,222908,38647854,9.82,5767.67
Armenia,2005,7.81,4900,3014917,2.59,1625.25
Australia,2005,607.64,693339,20394800,29.79,33995.87
Austria,2005,71.68,314641,8227829,8.71,38241.07
Azerbaijan,2005,58.91,13245,8391850,7.02,1578.32
"Bahamas, The",2005,1.18,7706,329088,3.59,23416.23
Bahrain,2005,26.61,15969,879534,30.25,18156.21
Bangladesh,2005,156.90,60278,143135180,1.10,421.13
Barbados,2005,3.31,3892,273568,12.09,14226.81
Belarus,2005,71.04,30210,9663000,7.35,3126.36
Belgium,2005,132.86,386945,10478617,12.68,36927.11
Belize,2005,13.17,1114,271920,48.45,4096.79
Benin,2005,20.23,4358,8182362,2.47,532.61
Bhutan,2005,-7.09,819,650417,-10.90,1259.19
Bolivia,2005,121.77,9549,9354709,13.02,1020.77
Bosnia & Herzegovina,2005,22.36,10904,3879828,5.76,2810.43
Botswana,2005,21.92,9931,1875805,11.69,5294.26
Brazil,2005,2056.99,882186,186142403,11.05,4739.31
Brunei,2005,18.42,9531,367815,50.09,25912.48
Bulgaria,2005,47.60,29301,7739900,6.15,3785.71
Burkina Faso,2005,31.15,5463,13421929,2.32,407.02
Burundi,2005,6.35,1117,7770392,0.82,143.75
Cambodia,2005,52.83,6293,13356424,3.96,471.16
Cameroon,2005,194.89,16588,18137734,10.74,914.56
Canada,2005,989.37,1164179,32312000,30.62,36029.31
Cape Verde,2005,0.40,972,478651,0.83,2030.71
Central African Republic,2005,60.34,1350,3960897,15.23,340.83
Chad,2005,45.52,6647,10014413,4.55,663.74
Chile,2005,72.71,124404,16337749,4.45,7614.51
China,2005,6974.05,2256903,1303720000,5.35,1731.13
Colombia,2005,188.83,146520,43184026,4.37,3392.92
Comoros,2005,0.63,380,600733,1.05,632.56
"Congo, Dem. Rep.",2005,202.19,11964,54028003,3.74,221.44
"Congo, Rep.",2005,18.39,6087,3542867,5.19,1718.10
Cook Islands,2005,0.11,183,21388,5.02,8556.20
Costa Rica,2005,4.07,19965,4320130,0.94,4621.39
Cote d'Ivoire,2005,17.30,17085,17393994,0.99,982.24
Croatia,2005,16.97,45416,4442000,3.82,10224.22
Cuba,2005,16.35,42644,11292078,1.45,3776.45
Cyprus,2005,8.54,16998,1032586,8.27,16461.58
Czech Republic,2005,127.71,135990,10211216,12.51,13317.71
Denmark,2005,56.16,264559,5419432,10.36,48816.74
Djibouti,2005,1.17,709,776585,1.51,912.97
Dominica,2005,0.23,370,70542,3.30,5245.10
Dominican Republic,2005,28.19,33970,9343362,3.02,3635.74
Ecuador,2005,127.77,41507,13777131,9.27,3012.75
Egypt,2005,230.93,89686,71777678,3.22,1249.50
El Salvador,2005,13.64,17094,6072538,2.25,2814.97
Equatorial Guinea,2005,24.91,8217,603648,41.26,13612.24
Eritrea,2005,7.06,1098,4854066,1.45,226.20
Estonia,2005,27.88,14003,1354775,20.58,10336.03
Ethiopia,2005,115.99,12401,76167240,1.52,162.81
European Union (15),2005,3779.41,13408336,388612242,9.73,34503.12
European Union (28),2005,4627.50,14267231,491861356,9.41,29006.61
Fiji,2005,1.91,3007,822484,2.33,3656.00
Finland,2005,54.32,204431,5246096,10.35,38968.22
France,2005,436.99,2203624,63176246,6.92,34880.58
Gabon,2005,6.37,8666,1379465,4.62,6282.15
"Gambia, The",2005,5.63,624,1436549,3.92,434.37
Georgia,2005,8.76,6411,4361400,2.01,1469.94
Germany,2005,887.09,2857559,82469422,10.76,34649.92
Ghana,2005,53.58,10732,21384034,2.51,501.87
Greece,2005,120.69,247666,11092913,10.88,22326.51
Grenada,2005,2.19,695,102951,21.25,6750.78
Guatemala,2005,40.57,27211,12678919,3.20,2146.16
Guinea,2005,25.65,2937,9576331,2.68,306.69
Guinea-Bissau,2005,2.91,587,1421515,2.04,412.94
Guyana,2005,7.34,825,760834,9.64,1084.34
Haiti,2005,7.63,4154,9260879,0.82,448.55
Honduras,2005,47.64,9672,6898825,6.91,1401.98
Hungary,2005,78.69,111890,10087065,7.80,11092.42
Iceland,2005,3.00,16799,296734,10.13,56612.99
India,2005,1914.46,834215,1127143548,1.70,740.11
Indonesia,2005,1583.83,285869,224480901,7.06,1273.47
Iran,2005,575.54,192015,70152384,8.20,2737.11
Iraq,2005,174.46,49955,27377045,6.37,1824.70
Ireland,2005,69.71,210358,4159914,16.76,50567.87
Israel,2005,75.90,141213,6930100,10.95,20376.76
Italy,2005,530.33,1853466,57969484,9.15,31973.13
Jamaica,2005,13.16,11076,2643601,4.98,4189.74
Japan,2005,1237.40,4571867,127773000,9.68,35781.17
Jordan,2005,24.39,12589,5411000,4.51,2326.56
Kazakhstan,2005,213.27,57124,15147029,14.08,3771.30
Kenya,2005,51.50,18738,35785718,1.44,523.62
Kiribati,2005,0.08,106,90468,0.91,1171.69
"Korea, Dem. Rep. (North)",2005,113.50,13031,23813333,4.77,547.21
"Korea, Rep. (South)",2005,527.95,898134,48138077,10.97,18657.45
Kuwait,2005,179.36,80798,2296314,78.11,35185.95
Kyrgyzstan,2005,7.51,2460,5162600,1.45,476.50
Laos,2005,31.22,2736,5790646,5.39,472.49
Latvia,2005,10.06,16042,2238799,4.49,7165.45
Lebanon,2005,19.34,21288,3986865,4.85,5339.53
Lesotho,2005,2.16,1368,1925844,1.12,710.34
Liberia,2005,16.61,542,3269786,5.08,165.76
Libya,2005,123.41,44000,5594450,22.06,7864.94
Lithuania,2005,25.15,26085,3322528,7.57,7850.95
Luxembourg,2005,12.65,37024,465158,27.20,79594.46
"Macedonia, FYR",2005,13.53,5986,2090044,6.47,2864.05
Madagascar,2005,49.43,5039,18290394,2.70,275.50
Malawi,2005,13.87,2755,12924746,1.07,213.16
Malaysia,2005,422.99,143533,25843466,16.37,5553.94
Maldives,2005,0.77,992,297576,2.59,3333.60
Mali,2005,31.01,5305,11941258,2.60,444.26
Malta,2005,3.17,5981,403834,7.84,14810.54
Mauritania,2005,10.28,1858,3146164,3.27,590.56
Mauritius,2005,4.67,6284,1228254,3.80,5116.21
Mexico,2005,685.04,866346,110731826,6.19,7823.82
Moldova,2005,11.33,2988,3595187,3.15,831.11
Mongolia,2005,47.81,2523,2526502,18.92,998.61
Montenegro,2005,3.96,2257,615820,6.43,3665.03
Morocco,2005,54.70,59524,30125445,1.82,1975.87
Mozambique,2005,60.66,6579,21010376,2.89,313.13
Myanmar,2005,169.04,13184,50181020,3.37,262.73
Namibia,2005,18.11,7261,2027026,8.93,3582.10
Nauru,2005,0.09,29,9889,9.38,2932.55
Nepal,2005,60.94,8130,25292058,2.41,321.44
Netherlands,2005,218.84,672357,16319868,13.41,41198.68
New Zealand,2005,59.34,113791,4133900,14.35,27526.31
Nicaragua,2005,42.21,6323,5455219,7.74,1159.07
Niger,2005,22.00,3405,13183798,1.67,258.27
Nigeria,2005,471.57,112248,139585891,3.38,804.15
Niue,2005,0.07,10.18,1687,41.49,6034.38
Norway,2005,24.84,304060,4623291,5.37,65767.00
Oman,2005,66.13,31082,2522325,26.22,12322.76
Pakistan,2005,288.42,109502,157971415,1.83,693.18
Palau,2005,0.11,206,19907,5.46,10348.12
Panama,2005,18.93,15465,3365929,5.62,4594.57
Papua New Guinea,2005,99.04,4869,6095959,16.25,798.73
Paraguay,2005,103.13,8735,5904170,17.47,1479.46
Peru,2005,112.34,74964,27723281,4.05,2704.01
Philippines,2005,140.21,103066,85821214,1.63,1200.94
Poland,2005,321.03,304412,38165445,8.41,7976.12
Portugal,2005,84.65,197300,10503330,8.06,18784.52
Qatar,2005,48.25,44530,821159,58.76,54228.23
Romania,2005,137.03,99173,21319685,6.43,4651.71
Russian Federation,2005,2163.40,764001,143113885,15.12,5338.41
Rwanda,2005,-5.15,2581,9429457,-0.55,273.72
Saint Kitts & Nevis,2005,0.30,543,49139,6.05,11050.29
Saint Lucia,2005,0.98,935,165407,5.93,5652.72
Saint Vincent & Grenadines,2005,0.23,551,108749,2.15,5066.71
Samoa,2005,0.44,463,179928,2.46,2573.25
Sao Tome & Principe,2005,0.14,123,154615,0.90,795.52
Saudi Arabia,2005,352.08,328460,24690067,14.26,13303.33
Senegal,2005,28.35,8707,11270826,2.52,772.53
Serbia,2005,55.32,26252,7440769,7.43,3528.13
Seychelles,2005,0.75,917,82900,9.07,11061.52
Sierra Leone,2005,10.26,1628,5119895,2.00,317.98
Singapore,2005,47.46,127418,4265800,11.13,29869.66
Slovakia,2005,38.56,62677,5372807,7.18,11665.60
Slovenia,2005,5.71,36345,2000474,2.85,18168.19
Solomon Islands,2005,2.09,414,469306,4.46,882.15
South Africa,2005,409.71,257773,47349013,8.65,5444.11
Spain,2005,428.08,1157248,43653155,9.81,26510.07
Sri Lanka,2005,43.94,24406,19644000,2.24,1242.41
Sudan,2005,159.59,26525,31585871,5.05,839.77
Suriname,2005,5.59,1794,499523,11.19,3591.43
Swaziland,2005,2.85,2584,1104642,2.58,2339.22
Sweden,2005,42.06,389043,9029572,4.66,43085.43
Switzerland,2005,51.40,407543,7437115,6.91,54798.53
Syria,2005,89.49,28859,18167367,4.93,1588.51
Tajikistan,2005,7.08,2312,6805655,1.04,339.72
Tanzania,2005,167.93,14142,38824384,4.33,364.26
Thailand,2005,322.14,176352,65559487,4.91,2689.95
Togo,2005,14.05,2115,5540214,2.54,381.75
Tonga,2005,0.29,265,100960,2.85,2624.80
Trinidad & Tobago,2005,34.77,16089,1296933,26.81,12405.42
Tunisia,2005,30.90,32283,10029000,3.08,3218.97
Turkey,2005,290.53,482980,67743052,4.29,7129.59
Turkmenistan,2005,85.61,8104,4747839,18.03,1706.88
Uganda,2005,41.58,9014,28724869,1.45,313.80
Ukraine,2005,389.64,86142,47105150,8.27,1828.72
United Arab Emirates,2005,145.09,180617,4148883,34.97,43533.89
United Kingdom,2005,633.30,2412116,60401206,10.48,39934.90
United States,2005,6480.32,13093700,295516599,21.93,44307.83
Uruguay,2005,22.65,17363,3325155,6.81,5221.71
Uzbekistan,2005,206.82,14308,26167000,7.90,546.80
Vanuatu,2005,0.55,395,209375,2.65,1886.57
Venezuela,2005,364.10,145513,26725897,13.62,5444.64
Vietnam,2005,171.50,57633,82392100,2.08,699.50
World,2005,42000.97,46975273,6489886972,6.47,7238.23
Yemen,2005,27.19,16754,20139661,1.35,831.89
Zambia,2005,128.38,8332,11470022,11.19,726.42
Zimbabwe,2005,62.74,5755,12710589,4.94,452.77
Afghanistan,2006,19.56,6624,25631282,0.76,258.43
Albania,2006,7.65,8795,2992547,2.56,2938.97
Algeria,2006,144.10,104953,34507214,4.18,3041.48
Angola,2006,155.79,34088,17122409,9.10,1990.84
Antigua & Barbuda,2006,0.82,1131,83467,9.86,13550.27
Argentina,2006,384.45,241551,38988923,9.86,6195.38
Armenia,2006,7.96,5547,3002911,2.65,1847.21
Australia,2006,628.50,714074,20697900,30.37,34499.83
Austria,2006,91.57,325184,8268641,11.07,39327.38
Azerbaijan,2006,58.38,17815,8484550,6.88,2099.70
"Bahamas, The",2006,1.83,7900,335622,5.44,23538.39
Bahrain,2006,28.66,17002,950951,30.14,17878.94
Bangladesh,2006,161.24,64274,144868702,1.11,443.67
Barbados,2006,3.34,4114,274923,12.16,14964.19
Belarus,2006,69.16,33231,9604000,7.20,3460.12
Belgium,2006,130.82,397123,10547958,12.40,37649.28
Belize,2006,13.21,1165,278985,47.37,4175.85
Benin,2006,20.71,4522,8443671,2.45,535.55
Bhutan,2006,-7.72,875,665568,-11.60,1314.67
Bolivia,2006,128.03,10007,9517395,13.45,1051.44
Bosnia & Herzegovina,2006,24.13,11580,3875157,6.23,2988.27
Botswana,2006,21.64,10722,1895944,11.41,5655.23
Brazil,2006,1632.56,917080,188134315,8.68,4874.60
Brunei,2006,20.75,9951,374697,55.39,26557.46
Bulgaria,2006,49.70,31196,7699020,6.46,4051.94
Burkina Faso,2006,31.28,5804,13822257,2.26,419.90
Burundi,2006,6.06,1177,8042579,0.75,146.35
Cambodia,2006,45.96,6971,13555054,3.39,514.27
Cameroon,2006,193.67,17123,18611937,10.41,920.00
Canada,2006,852.38,1194702,32570505,26.17,36680.49
Cape Verde,2006,0.43,1050,481940,0.89,2178.69
Central African Republic,2006,60.87,1453,4032102,15.10,360.36
Chad,2006,43.38,6690,10356822,4.19,645.95
Chile,2006,74.02,129884,16504530,4.48,7869.60
China,2006,7691.83,2543000,1311020000,5.87,1939.71
Colombia,2006,189.80,156333,43841370,4.33,3565.88
Comoros,2006,0.63,390,616526,1.02,632.58
"Congo, Dem. Rep.",2006,207.30,12601,55590838,3.73,226.67
"Congo, Rep.",2006,16.70,6467,3646653,4.58,1773.41
Cook Islands,2006,0.10,196,21388,4.89,9164.02
Costa Rica,2006,3.94,21718,4392493,0.90,4944.34
Cote d'Ivoire,2006,31.90,17344,17662417,1.81,981.97
Croatia,2006,17.71,47590,4440000,3.99,10718.47
Cuba,2006,31.03,47790,11301100,2.75,4228.79
Cyprus,2006,8.59,17699,1048314,8.20,16883.30
Czech Republic,2006,128.80,145342,10238905,12.58,14195.07
Denmark,2006,71.93,274604,5437272,13.23,50504.00
Djibouti,2006,1.17,743,787544,1.48,943.44
Dominica,2006,0.30,388,70690,4.19,5488.75
Dominican Republic,2006,29.86,37595,9479269,3.15,3966.02
Ecuador,2006,129.74,43335,14023503,9.25,3090.17
Egypt,2006,239.86,95824,72990754,3.29,1312.82
El Salvador,2006,13.94,17763,6096692,2.29,2913.55
Equatorial Guinea,2006,25.44,7822,621517,40.93,12585.34
Eritrea,2006,6.82,1088,5035036,1.35,216.09
Estonia,2006,27.53,15461,1346810,20.44,11479.72
Ethiopia,2006,119.81,13745,78290649,1.53,175.56
European Union (15),2006,3842.77,13839326,390725752,9.83,35419.54
European Union (28),2006,4690.31,14754932,493738694,9.50,29884.09
Fiji,2006,1.54,3062,828060,1.85,3697.80
Finland,2006,87.00,212721,5266268,16.52,40393.12
France,2006,483.18,2255959,63617975,7.60,35461.03
Gabon,2006,5.79,8768,1412907,4.10,6205.65
"Gambia, The",2006,5.95,631,1482324,4.01,425.68
Georgia,2006,9.17,7013,4398000,2.08,1594.59
Germany,2006,873.71,2963574,82376451,10.61,35975.99
Ghana,2006,54.25,11419,21947779,2.47,520.28
Greece,2006,118.40,262068,11127947,10.64,23550.44
Grenada,2006,1.68,668,103260,16.31,6469.11
Guatemala,2006,38.50,28675,12995374,2.96,2206.55
Guinea,2006,26.16,3010,9798963,2.67,307.18
Guinea-Bissau,2006,3.89,600,1452659,2.68,413.04
Guyana,2006,6.75,781,765367,8.82,1020.43
Haiti,2006,7.70,4248,9388642,0.82,452.46
Honduras,2006,45.86,10307,7037428,6.52,1464.60
Hungary,2006,77.80,116324,10071370,7.72,11549.97
Iceland,2006,3.10,17510,303782,10.20,57640.02
India,2006,2076.47,911496,1143289350,1.82,797.26
Indonesia,2006,1967.28,301594,227709821,8.64,1324.47
Iran,2006,620.46,203332,70976584,8.74,2864.78
Iraq,2006,162.97,55029,28064095,5.81,1960.83
Ireland,2006,69.61,221865,4273591,16.29,51915.36
Israel,2006,78.61,149375,7053700,11.14,21176.83
Italy,2006,526.88,1890654,58143979,9.06,32516.76
Jamaica,2006,14.30,11902,2653042,5.39,4486.17
Japan,2006,1184.84,4649264,127854000,9.27,36363.85
Jordan,2006,24.87,13608,5536000,4.49,2458.09
Kazakhstan,2006,234.15,63236,15308084,15.30,4130.89
Kenya,2006,50.50,19924,36757498,1.37,542.04
Kiribati,2006,0.09,101,91953,0.93,1098.39
"Korea, Dem. Rep. (North)",2006,116.47,13764,23969917,4.86,574.22
"Korea, Rep. (South)",2006,536.53,944623,48371946,11.09,19528.32
Kuwait,2006,179.12,86874,2417445,74.09,35936.29
Kyrgyzstan,2006,-2.85,2536,5218400,-0.55,485.97
Laos,2006,33.54,2971,5895930,5.69,503.91
Latvia,2006,-1.90,18004,2218357,-0.85,8115.92
Lebanon,2006,17.96,21629,4079823,4.40,5301.46
Lesotho,2006,2.01,1427,1940413,1.04,735.41
Liberia,2006,16.65,595,3384791,4.92,175.79
Libya,2006,125.83,46596,5686475,22.13,8194.18
Lithuania,2006,27.76,28132,3269909,8.49,8603.30
Luxembourg,2006,12.52,38831,472637,26.50,82158.19
"Macedonia, FYR",2006,12.36,6287,2093801,5.91,3002.67
Madagascar,2006,54.56,5292,18826126,2.90,281.10
Malawi,2006,13.01,2812,13307535,0.98,211.31
Malaysia,2006,397.06,151549,26327098,15.08,5756.39
Maldives,2006,0.96,1187,302825,3.18,3919.76
Mali,2006,31.36,5760,12325545,2.54,467.32
Malta,2006,3.06,6114,405308,7.55,15084.82
Mauritania,2006,9.73,2070,3237713,3.00,639.34
Mauritius,2006,4.86,6532,1233996,3.94,5293.37
Mexico,2006,695.88,909676,112116694,6.21,8113.65
Moldova,2006,11.11,3132,3585209,3.10,873.59
Mongolia,2006,55.19,2739,2559496,21.56,1070.13
Montenegro,2006,3.93,2451,616854,6.38,3973.39
Morocco,2006,65.91,64143,30395097,2.17,2110.31
Mozambique,2006,52.93,6994,21587317,2.45,323.99
Myanmar,2006,172.15,14268,50500070,3.41,282.53
Namibia,2006,19.04,7775,2052931,9.27,3787.27
Nauru,2006,0.06,21,9802,6.11,2142.42
Nepal,2006,34.30,8404,25634043,1.34,327.85
Netherlands,2006,215.54,698050,16346101,13.19,42704.37
New Zealand,2006,59.56,115922,4184600,14.23,27702.05
Nicaragua,2006,42.31,6585,5524927,7.66,1191.87
Niger,2006,21.15,3603,13679705,1.55,263.38
Nigeria,2006,463.10,121465,143314909,3.23,847.54
Niue,2006,0.06,10.2,1661,38.95,6140.88
Norway,2006,28.05,311050,4660677,6.02,66739.23
Oman,2006,75.49,32752,2554905,29.55,12819.26
Pakistan,2006,308.71,116267,160905794,1.92,722.58
Palau,2006,0.22,203,20012,10.86,10143.91
Panama,2006,19.31,16783,3428509,5.63,4895.13
Papua New Guinea,2006,102.56,4981,6245797,16.42,797.50
Paraguay,2006,102.41,9155,6014781,17.03,1522.08
Peru,2006,138.40,80608,28030688,4.94,2875.71
Philippines,2006,133.24,108470,87366573,1.53,1241.55
Poland,2006,333.45,323263,38141267,8.74,8475.41
Portugal,2006,77.88,200364,10522288,7.40,19041.87
Qatar,2006,52.48,56184,967602,54.24,58065.20
Romania,2006,128.63,107817,21193760,6.07,5087.20
Russian Federation,2006,2060.41,826293,142487260,14.46,5799.07
Rwanda,2006,4.62,2820,9660946,0.48,291.90
Saint Kitts & Nevis,2006,0.31,575,49823,6.27,11540.85
Saint Lucia,2006,1.07,1012,167658,6.38,6036.10
Saint Vincent & Grenadines,2006,0.27,593,108908,2.45,5444.96
Samoa,2006,0.39,472,181073,2.14,2606.68
Sao Tome & Principe,2006,0.15,139,158806,0.93,875.28
Saudi Arabia,2006,370.09,346777,25371936,14.59,13667.74
Senegal,2006,28.54,8921,11582925,2.46,770.19
Serbia,2006,65.92,27539,7411569,8.89,3715.68
Seychelles,2006,0.80,1006,84600,9.42,11891.25
Sierra Leone,2006,11.05,1720,5280909,2.09,325.70
Singapore,2006,48.18,138707,4401400,10.95,31514.29
Slovakia,2006,40.59,67853,5373054,7.55,12628.39
Slovenia,2006,5.81,38401,2006868,2.90,19134.79
Solomon Islands,2006,2.17,443,480745,4.52,921.49
South Africa,2006,410.19,272169,47991699,8.55,5671.17
Spain,2006,409.29,1205553,44397319,9.22,27153.73
Sri Lanka,2006,40.45,26277,19858000,2.04,1323.25
Sudan,2006,160.65,29195,32397535,4.96,901.15
Suriname,2006,8.54,1862,505186,16.91,3685.77
Swaziland,2006,2.66,2669,1118253,2.37,2386.76
Sweden,2006,39.63,407282,9080505,4.36,44852.35
Switzerland,2006,51.15,423897,7483934,6.83,56640.93
Syria,2006,93.02,30302,18804914,4.95,1611.39
Tajikistan,2006,7.63,2474,6954522,1.10,355.74
Tanzania,2006,159.61,15095,39942347,4.00,377.92
Thailand,2006,318.84,185333,65883961,4.84,2813.02
Togo,2006,13.35,2201,5685845,2.35,387.10
Tonga,2006,0.30,261,101617,2.98,2568.47
Trinidad & Tobago,2006,38.60,18300,1303478,29.61,14039.36
Tunisia,2006,31.38,34108,10127900,3.10,3367.73
Turkey,2006,316.98,516274,68626337,4.62,7522.97
Turkmenistan,2006,88.26,8993,4801595,18.38,1872.92
Uganda,2006,38.53,9986,29711397,1.30,336.10
Ukraine,2006,396.13,92430,46787750,8.47,1975.52
United Arab Emirates,2006,153.87,198385,4875639,31.56,40689.03
